Al_concentration, OH_concentration, CI_concentration, wavelength, temperature, counter_ion
0.56, 4.04, 2.59, 619, 25, Na+
0.84, 6.12, 3.83, 619.5, 25, Na+
1.12, 7.88, 4.75, 619.5, 25, Na+
1.62, 11.86, 7.23, 619.5, 25, Na+
2.08, 15.25, 9.24, 620, 25, Na+
3.23, 22.71, 13.25, 621.5, 25, Na+
4.16, 29.49, 17.24, 621.5, 25, Na+
1.03, 16.4, 13.54, 619.5, 25, Na+
1.42, 16.8, 12.77, 620.5, 25, Na+
1.85, 17.95, 12.63, 620.5, 25, Na+
1.99, 21.73, 15.99, 621.5, 25, Na+
2.39, 23.84, 16.9, 621.5, 25, Na+
3.03, 26.88, 18.02, 621.5, 25, Na+
3.54, 29.76, 19.37, 621.5, 25, Na+
4.07, 29.57, 17.59, 621.5, 25, Na+